Date,Price
9/25/2020,1044
9/24/2020,1030.4
9/23/2020,1047.25
9/22/2020,1035.4
9/21/2020,1049.3
9/18/2020,1057.3
9/17/2020,1083.6
9/16/2020,1093.65
9/15/2020,1070.5
9/14/2020,1057.95
9/11/2020,1078.65
9/10/2020,1090.55
9/9/2020,1096.5
9/8/2020,1112.45
9/7/2020,1110.5
9/4/2020,1119.3
9/3/2020,1130.9
9/2/2020,1134.15
9/1/2020,1127.3
8/31/2020,1115.85
8/28/2020,1114.5
8/27/2020,1112.1
8/26/2020,1118.45
8/25/2020,1119.7
8/24/2020,1117.05
8/21/2020,1085.65
8/20/2020,1059
8/19/2020,1066.6
8/18/2020,1056.5
8/17/2020,1032.75
8/14/2020,1034.45
8/13/2020,1059.05
8/12/2020,1063.7
8/11/2020,1066.65
8/10/2020,1050.65
8/7/2020,1043.85
8/6/2020,1040.7
8/5/2020,1027.55
8/4/2020,1041.65
8/3/2020,1002
7/31/2020,1032.8
7/30/2020,1050.65
7/29/2020,1064.6
7/28/2020,1086.65
7/27/2020,1079.5
7/24/2020,1119.1
7/23/2020,1130.4
7/22/2020,1126.35
7/21/2020,1138.55
7/20/2020,1133.05
7/17/2020,1098.45
7/16/2020,1062.55
7/15/2020,1053.15
7/14/2020,1058.85
7/13/2020,1080.25
7/10/2020,1105.1
7/9/2020,1124.95
7/8/2020,1110.35
7/7/2020,1105.15
7/6/2020,1103
7/3/2020,1073.95
7/2/2020,1089.4
7/1/2020,1084.6
6/30/2020,1065.85
6/29/2020,1076.05
6/26/2020,1056.45
6/25/2020,1028.75
6/24/2020,1032.5
6/23/2020,1042.3
6/22/2020,1028.75
6/19/2020,1033.35
6/18/2020,1019.95
6/17/2020,979.25
6/16/2020,990.4
6/15/2020,949.85
6/12/2020,982.75
6/11/2020,968.6
6/10/2020,991.85
6/9/2020,987.3
6/8/2020,1015.9
6/5/2020,1033.35
6/4/2020,1001.7
6/3/2020,1022.25
6/2/2020,1001
6/1/2020,987.65
5/29/2020,951.65
5/28/2020,945.25
5/27/2020,903.65
5/26/2020,852.4
5/22/2020,838.85
5/21/2020,859.55
5/20/2020,857.1
5/19/2020,830.65
5/18/2020,836.65
5/15/2020,888.15
5/14/2020,893.7
5/13/2020,927.65
5/12/2020,901.55
5/11/2020,915.8
5/8/2020,929.05
5/7/2020,925
5/6/2020,946.4
5/5/2020,911.45
5/4/2020,923
4/30/2020,1001.8
4/29/2020,977.1
4/28/2020,931.4
4/27/2020,929.7
4/24/2020,938.05
4/23/2020,954.95
4/22/2020,928.6
4/21/2020,921.65
4/20/2020,944.85
4/17/2020,910.3
4/16/2020,879.75
4/15/2020,863.3
4/13/2020,895.35
4/9/2020,925.05
4/8/2020,888.9
4/7/2020,896.1
4/3/2020,813.85
4/1/2020,829.65
3/31/2020,861.9
3/30/2020,831.65
3/27/2020,904.45
3/26/2020,901.1
3/25/2020,856.75
3/24/2020,767.7
3/23/2020,771.55
3/20/2020,882.85
3/19/2020,895.55
3/18/2020,876.9
3/17/2020,975.1
3/16/2020,999.5
3/13/2020,1069.8
3/12/2020,1021.3
3/11/2020,1113.8
3/9/2020,1107.3
3/6/2020,1134.9
3/5/2020,1151.35
3/4/2020,1148.85
3/3/2020,1181.8
3/2/2020,1179.6
2/28/2020,1177.65
2/27/2020,1199.45
2/26/2020,1199.25
2/25/2020,1200.3
2/24/2020,1209.95
2/20/2020,1217.1
2/19/2020,1227.2
2/18/2020,1213.25
2/17/2020,1217.15
2/14/2020,1219.35
2/13/2020,1241.4
2/12/2020,1249
2/11/2020,1240.6
2/10/2020,1240.3
2/7/2020,1242.2
2/6/2020,1239.8
2/5/2020,1244.65
2/4/2020,1229.8
2/3/2020,1192.8
2/1/2020,1198.7
1/31/2020,1226.3
1/30/2020,1226.05
1/29/2020,1235.85
1/28/2020,1223.2
1/27/2020,1213.2
1/24/2020,1244.55
1/23/2020,1244.85
1/22/2020,1240.85
1/21/2020,1244.35
1/20/2020,1254.9
1/17/2020,1278.15
1/16/2020,1287.65
1/15/2020,1284.25
1/14/2020,1289.5
1/13/2020,1286
1/10/2020,1282.7
1/9/2020,1271.4
1/8/2020,1257.3
1/7/2020,1260.6
1/6/2020,1240.95
1/3/2020,1268.4
1/2/2020,1286.75
1/1/2020,1278.6
12/31/2019,1272.1
12/30/2019,1282.15
12/27/2019,1275
12/26/2019,1270.45
12/24/2019,1289.15
